Phone,Account.Length,Day.Mins,Day.Calls,Day.Charge,Eve.Mins,Eve.Calls,Eve.Charge,Night.Mins,Night.Calls,Night.Charge,Intl.Mins,Intl.Calls,Intl.Charge,CustServ.Calls,Churn.
383-4061,122,230.9,132,39.25,243.2,99,20.67,182.4,57,8.21,11,2,2.97,0,True.
389-4083,74,230.9,93,39.25,223,78,18.96,157.8,101,7.1,9.7,2,2.62,3,False.
418-9502,179,170.7,54,29.02,191.1,108,16.24,214.6,107,9.66,13.3,4,3.59,1,False.
356-3403,77,189.5,112,32.22,207,95,17.6,214.1,91,9.63,9.2,7,2.48,0,False.
371-9457,127,176.9,110,30.07,167.9,100,14.27,182.2,138,8.2,7.7,2,2.08,1,True.
391-8087,80,161.1,99,27.39,198.8,81,16.9,228.4,116,10.28,10.6,4,2.86,1,False.
392-6420,106,169.4,107,28.8,197.2,71,16.76,202.2,79,9.1,10.7,4,2.89,1,False.
399-4094,61,254.4,133,43.25,161.7,96,13.74,251.4,91,11.31,10.5,4,2.84,0,False.
378-4013,135,127.7,54,21.71,215,105,18.28,234.3,84,10.54,5.8,4,1.57,2,False.
386-6306,115,170.5,107,28.99,217.2,77,18.46,225.7,71,10.16,13.6,5,3.67,6,False.
359-3618,167,219.1,100,37.25,242.9,90,20.65,168.9,101,7.6,10.1,4,2.73,2,False.
340-8875,107,273.5,104,46.5,183.8,68,15.62,153.8,67,6.92,11,9,2.97,2,False.
344-9943,107,281.1,83,47.79,143.7,130,12.21,239.4,128,10.77,11.2,9,3.02,1,False.
390-5686,69,228.2,70,38.79,263.7,80,22.41,142.6,60,6.42,10.7,5,2.89,3,False.
358-5826,85,209.8,82,35.67,194.5,94,16.53,200.4,85,9.02,11.3,3,3.05,0,False.
393-7826,24,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3,2,True.
416-9522,92,281.1,88,47.79,198,103,16.83,94.3,76,4.24,7.5,3,2.03,0,False.
416-7307,38,137.8,86,23.43,286.3,76,24.34,167,77,7.52,14.1,3,3.81,2,False.
397-6789,69,271.5,98,46.16,253.4,102,21.54,165.4,85,7.44,8.2,2,2.21,1,True.
335-9501,45,112.8,108,19.18,218.8,120,18.6,240.2,106,10.81,9,3,2.43,2,False.
386-1374,92,197,84,33.49,269.3,105,22.89,158.9,105,7.15,10.8,4,2.92,1,False.
346-8112,113,180.4,89,30.67,129.4,124,11,166.9,124,7.51,8.4,2,2.27,1,False.
364-9040,68,148.5,126,25.25,219.4,125,18.65,198.5,121,8.93,14.5,7,3.92,1,True.
366-3944,135,197.1,113,33.51,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94,2,False.
331-9861,100,153.7,115,26.13,137.8,146,11.71,213.5,104,9.61,15.9,5,4.29,1,False.
330-2881,96,261.3,96,44.42,220.9,101,18.78,179.4,97,8.07,11.3,2,3.05,1,False.
341-3180,84,191,88,32.47,318.8,119,27.1,247.3,79,11.13,6.5,4,1.76,0,False.
371-8598,134,208.3,86,35.41,253.6,89,21.56,291,86,13.1,12.6,3,3.4,1,False.
398-8385,72,253,73,43.01,219.3,78,18.64,210.8,89,9.49,9.8,4,2.65,0,False.
333-4154,83,202.3,87,34.39,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84,0,False.
330-3589,137,174.4,120,29.65,156.3,98,13.29,136.5,121,6.14,10.2,5,2.75,0,False.
417-1477,56,127.1,89,21.61,172.1,116,14.63,194.6,111,8.76,12.1,3,3.27,1,False.
327-5525,61,143.5,76,24.4,242.6,58,20.62,147.7,95,6.65,11.3,3,3.05,0,False.
363-8244,171,186.9,94,31.77,240,138,20.4,200.9,64,9.04,5.8,3,1.57,1,False.
363-1560,58,234.8,89,39.92,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67,0,False.
341-4075,156,123.7,96,21.03,103,80,8.76,189.4,82,8.52,13.1,4,3.54,1,False.
366-9074,166,173.9,103,29.56,276.4,83,23.49,190.8,113,8.59,15.3,5,4.13,0,False.
342-9480,83,227.9,78,38.74,207.5,115,17.64,211.7,100,9.53,12.1,5,3.27,1,False.
355-9360,243,95.5,92,16.24,163.7,63,13.91,264.2,118,11.89,6.6,6,1.78,2,False.
335-2331,150,146.3,133,24.87,202.7,95,17.23,234.7,103,10.56,13.1,3,3.54,1,False.
335-7257,92,184,99,31.28,76.4,134,6.49,185.1,96,8.33,12.7,3,3.43,2,False.
332-2137,80,105.8,110,17.99,43.9,88,3.73,189.6,87,8.53,13.1,5,3.54,0,False.
352-2998,134,178,110,30.26,153.8,64,13.07,236.6,105,10.65,11.7,4,3.16,1,False.
346-6941,77,149.4,74,25.4,123.9,72,10.53,174.3,84,7.84,10.1,6,2.73,1,False.
400-2203,147,209.4,104,35.6,132.5,78,11.26,149.4,123,6.72,11.3,3,3.05,2,False.
331-6629,138,169.3,82,28.78,217.9,147,18.52,184.2,77,8.29,9.4,9,2.54,1,False.
343-6314,143,119.1,117,20.25,287.7,136,24.45,223,100,10.04,12.2,4,3.29,0,False.
350-5883,120,198.8,56,33.8,230.1,73,19.56,119.8,81,5.39,9.9,3,2.67,2,False.
409-4447,121,167.7,94,28.51,93.7,121,7.96,241.3,115,10.86,13.4,1,3.62,3,True.
376-4856,88,202.2,86,34.37,216.8,93,18.43,239.4,99,10.77,11.8,2,3.19,2,False.
335-1874,87,322.5,106,54.83,204.6,93,17.39,186.2,128,8.38,9.4,4,2.54,2,True.
397-6255,100,216.2,107,36.75,215.6,84,18.33,138.4,127,6.23,10.2,3,2.75,0,False.
403-6850,27,72.7,75,12.36,208.6,117,17.73,65.8,71,2.96,9.9,3,2.67,1,False.
375-3658,81,210.4,100,35.77,225.5,97,19.17,168.7,120,7.59,9.7,4,2.62,0,False.
341-2603,64,127.2,93,21.62,162.9,104,13.85,247.4,109,11.13,8.1,13,2.19,0,False.
342-5062,107,201.8,79,34.31,304.9,128,25.92,225.6,133,10.15,11.9,8,3.21,1,False.
354-1558,88,219.5,78,37.32,222.1,94,18.88,188.3,92,8.47,16.1,5,4.35,1,False.
351-9537,111,99.3,112,16.88,270.5,136,22.99,225.3,94,10.14,9,6,2.43,3,False.
401-1252,77,239.2,114,40.66,150,115,12.75,160.8,81,7.24,10.3,2,2.78,5,False.
366-9538,67,120.9,58,20.55,235,88,19.98,95.1,130,4.28,11.4,11,3.08,2,False.
364-7622,102,224.7,81,38.2,129.4,112,11,167.6,109,7.54,15.8,6,4.27,1,False.
393-9918,146,176.6,88,30.02,162.7,66,13.83,215.5,98,9.7,14.6,6,3.94,1,False.
376-4484,144,283.9,98,48.26,192,109,16.32,196.3,85,8.83,10,4,2.7,1,False.
410-6791,96,180.6,92,30.7,190.9,114,16.23,295.6,125,13.3,10.3,4,2.78,1,True.
343-2392,70,125.9,101,21.4,196.4,102,16.69,252.7,75,11.37,10.3,4,2.78,1,False.
408-4323,149,237.6,79,40.39,192.4,107,16.35,207.4,111,9.33,9.1,9,2.46,0,False.
395-1718,129,198.4,91,33.73,264.7,106,22.5,111.4,101,5.01,9.2,2,2.48,2,False.
354-9492,166,274.3,110,46.63,52.9,109,4.5,246.1,119,11.07,10.9,5,2.94,0,False.
367-8168,136,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11,4,2.97,3,True.
340-3500,149,217.7,91,37.01,273.5,74,23.25,226.9,99,10.21,9.6,3,2.59,3,False.
369-4962,70,134.7,96,22.9,235.9,90,20.05,260.2,113,11.71,7.6,6,2.05,3,False.
334-8967,120,212.7,73,36.16,257.5,103,21.89,227.8,119,10.25,9.7,13,2.62,2,False.
402-2377,66,256.3,135,43.57,180.2,106,15.32,187.3,135,8.43,6.2,7,1.67,2,False.
366-3917,104,183.6,133,31.21,120.7,98,10.26,215.1,112,9.68,12.7,2,3.43,1,False.
333-3531,160,176.2,90,29.95,196,115,16.66,263.9,95,11.88,9.2,4,2.48,1,False.
333-8954,129,205,94,34.85,165.4,103,14.06,185,81,8.32,11.7,8,3.16,1,False.
334-3289,169,179.2,111,30.46,175.2,130,14.89,228.6,92,10.29,9.9,6,2.67,2,False.
353-7822,58,149.4,145,25.4,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02,1,False.
385-8406,45,207.6,71,35.29,152.7,94,12.98,217.8,125,9.8,12.4,13,3.35,1,False.
380-7277,155,165.4,108,28.12,183.7,103,15.61,80.2,108,3.61,8.9,4,2.4,3,False.
352-1798,52,209.8,114,35.67,171.3,82,14.56,154.6,119,6.96,9.9,9,2.67,4,False.
385-7922,119,220.1,128,37.42,268.2,133,22.8,146.5,80,6.59,11.1,3,3,0,False.
353-7730,86,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,1,False.
337-7163,42,196.5,89,33.41,241.3,123,20.51,143.2,105,6.44,4,7,1.08,0,False.
348-5567,127,180.9,114,30.75,209.5,118,17.81,249.9,105,11.25,7.4,4,2,2,False.
420-9575,123,105,150,17.85,251.6,90,21.39,258,93,11.61,14.9,5,4.02,0,False.
366-3358,98,271.4,119,46.14,190.4,102,16.18,284.7,118,12.81,11.1,6,3,4,True.
405-3335,132,154.6,128,26.28,245.6,106,20.88,148.6,90,6.69,9.1,4,2.46,1,False.
355-4992,129,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,5.9,4,1.59,1,False.
383-6373,62,281,66,47.77,160.6,108,13.65,77.9,74,3.51,0,0,0,1,False.
422-5865,32,171.2,82,29.1,185.6,102,15.78,203.3,64,9.15,10.2,7,2.75,1,False.
410-9961,86,124.1,82,21.1,202.6,120,17.22,289.6,119,13.03,6.7,8,1.81,3,False.
357-7060,42,146.3,84,24.87,255.9,113,21.75,45,117,2.03,8,12,2.16,1,False.
378-4145,66,254.9,108,43.33,243.2,135,20.67,190.8,95,8.59,5.4,3,1.46,2,False.
377-2235,104,182.9,113,31.09,239.6,85,20.37,229.8,104,10.34,5.5,4,1.49,2,False.
386-9141,103,198.5,112,33.75,42.5,90,3.61,179.2,124,8.06,12.4,5,3.35,0,False.
327-3053,87,110.9,91,18.85,158.5,115,13.47,207.5,131,9.34,6.2,5,1.67,1,False.
395-6195,109,166.9,85,28.37,221.2,92,18.8,197.3,97,8.88,12.3,4,3.32,1,True.
397-8772,167,244.8,91,41.62,60.8,105,5.17,176.7,110,7.95,10.7,3,2.89,2,False.
343-2350,106,165.3,118,28.1,210,101,17.85,187.2,93,8.42,8.5,3,2.3,2,False.
372-4722,125,126.7,113,21.54,155.5,131,13.22,206.2,112,9.28,14.4,7,3.89,2,False.
379-8248,125,140.1,132,23.82,209.6,126,17.82,264.1,77,11.88,8,2,2.16,1,False.
414-6219,89,209.9,113,35.68,249.8,104,21.23,224.2,92,10.09,8.7,7,2.35,1,False.
387-1343,72,139.8,114,23.77,138.2,91,11.75,221,88,9.95,5.5,6,1.49,0,False.
370-5527,23,321.6,107,54.67,251.6,115,21.39,141.1,158,6.35,11.3,3,3.05,2,True.
370-2688,61,260,123,44.2,210.5,127,17.89,234.7,70,10.56,9,3,2.43,1,True.
418-9036,161,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,4,True.
417-2035,73,213,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0,False.
355-3602,118,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,16.9,2,4.56,1,False.
418-5141,127,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,0,False.
332-2965,45,159.8,91,27.17,120.4,86,10.23,163,93,7.34,10.6,3,2.86,2,False.
377-1218,50,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1,False.
373-2339,105,102.8,74,17.48,281.7,125,23.94,228.1,113,10.26,13.2,5,3.56,2,False.
410-3503,72,109.1,97,18.55,115.7,96,9.83,295.8,84,13.31,8.3,6,2.24,0,False.
410-4739,52,215.9,67,36.7,217,108,18.45,342.8,130,15.43,5.2,2,1.4,1,False.
365-3562,125,203.4,110,34.58,128.7,97,10.94,190.5,113,8.57,11,4,2.97,1,False.
385-9744,65,111,51,18.87,219.8,84,18.68,202,89,9.09,4.4,14,1.19,1,False.
398-5006,80,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1,False.
408-3977,1,144.8,107,24.62,112.5,66,9.56,218.7,79,9.84,13.8,3,3.73,1,False.
350-9228,143,209.1,127,35.55,106.1,80,9.02,179.6,90,8.08,14,6,3.78,0,False.
413-4039,205,175.8,139,29.89,155,98,13.18,180.7,64,8.13,7.8,5,2.11,2,False.
343-2077,24,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,1,False.
336-5661,74,136.7,106,23.24,228.6,105,19.43,265.3,114,11.94,9.8,4,2.65,0,False.
355-4143,77,67.7,68,11.51,195.7,86,16.63,236.5,137,10.64,12,2,3.24,1,False.
368-7555,74,125.8,103,21.39,207.7,96,17.65,207.4,143,9.33,14.1,4,3.81,1,True.
408-2119,200,128.2,87,21.79,133.2,105,11.32,177.6,123,7.99,11.2,2,3.02,1,False.
329-2789,86,226.3,88,38.47,223,107,18.96,255.6,92,11.5,13,3,3.51,4,False.
334-1508,91,162.3,107,27.59,233.9,115,19.88,277.4,94,12.48,9.2,4,2.48,0,False.
337-1506,76,224.4,121,38.15,147.9,97,12.57,183.8,74,8.27,6.7,2,1.81,2,False.
396-8400,130,120.5,127,20.49,189.7,52,16.12,270.1,107,12.15,14.3,2,3.86,1,False.
349-2654,56,91.1,90,15.49,179.3,115,15.24,300.7,89,13.53,11.9,8,3.21,2,False.
417-2716,117,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,False.
402-1725,63,153.5,81,26.1,287.3,115,24.42,230.2,85,10.36,6.5,5,1.76,2,False.
403-3229,126,226.2,88,38.45,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,0,False.
353-6056,132,191.9,107,32.62,206.9,127,17.59,272,88,12.24,12.6,2,3.4,1,False.
393-6376,150,174.4,75,29.65,169.9,80,14.44,201.6,130,9.07,11,4,2.97,1,False.
351-6585,87,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11,3,2.97,1,False.
330-5462,108,103,129,17.51,242.3,103,20.6,170.2,89,7.66,7.9,3,2.13,1,False.
407-2292,101,153.8,89,26.15,234,89,19.89,196.3,77,8.83,11.6,2,3.13,4,False.
340-3011,53,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,10.7,2,2.89,3,False.
345-9153,132,175.7,93,29.87,187.2,94,15.91,225.5,118,10.15,8.6,3,2.32,2,False.
379-5503,158,155.9,123,26.5,224.2,112,19.06,221,116,9.95,8.6,8,2.32,2,False.
389-6790,114,154.4,109,26.25,221.4,142,18.82,208.5,103,9.38,10.3,5,2.78,0,False.
408-3610,77,209.7,73,35.65,183.6,63,15.61,205.5,111,9.25,7.1,3,1.92,2,False.
375-8238,144,150,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,0,False.
378-5633,91,232.4,97,39.51,186,88,15.81,190.5,128,8.57,12.3,3,3.32,3,False.
380-2758,5,199.2,106,33.86,187.3,12,15.92,214,85,9.63,13.3,3,3.59,3,False.
402-2728,97,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,0,False.
354-9062,107,212.1,95,36.06,150.1,88,12.76,219.8,111,9.89,7.7,2,2.08,3,False.
417-2054,142,154,75,26.18,165.8,97,14.09,270,83,12.15,10.8,5,2.92,1,False.
328-1522,73,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0,False.
408-4529,48,152,63,25.84,258.8,131,22,263.2,109,11.84,15.7,5,4.24,2,True.
370-9755,122,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,1,True.
372-4835,93,190.2,68,32.33,262.2,64,22.29,130,92,5.85,8.8,4,2.38,0,False.
334-6605,85,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1,False.
399-5564,59,160.9,95,27.35,251.2,65,21.35,273.4,97,12.3,5,5,1.35,3,False.
392-2887,87,228.7,90,38.88,163,99,13.86,154.1,90,6.93,11.8,3,3.19,1,False.
328-2110,137,144,90,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,0,False.
383-5976,21,135.9,90,23.1,271,84,23.04,179.1,89,8.06,9.5,7,2.57,6,False.
332-6181,129,334.3,118,56.83,192.1,104,16.33,191,83,8.59,10.4,6,2.81,0,True.
330-5255,104,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13,6,3.51,0,False.
413-5190,93,134.2,105,22.81,162.5,128,13.81,186.6,90,8.4,11.8,2,3.19,4,True.
394-7447,63,278,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,4,True.
353-7096,161,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0,False.
395-6002,50,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,11.6,8,3.13,3,False.
372-9816,103,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,1,False.
400-7253,84,159.1,106,27.05,149.8,101,12.73,213.4,108,9.6,13,18,3.51,1,False.
344-7470,92,212.4,105,36.11,224.6,118,19.09,221.3,105,9.96,9,4,2.43,1,False.
378-8572,77,142.3,112,24.19,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,1,False.
345-9140,64,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,True.
340-5460,159,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1,False.
369-8024,110,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,True.
395-8595,138,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17,4,4.59,3,False.
359-4587,178,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,3,3.67,1,False.
361-3779,50,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2,False.
375-8934,45,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1,False.
395-4757,70,126.3,99,21.47,141.6,106,12.04,255.9,96,11.52,9.6,2,2.59,0,False.
421-7205,147,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,False.
379-8805,94,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,1,False.
348-2150,179,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0,False.
417-9128,116,217.3,91,36.94,216.1,95,18.37,148.1,76,6.66,11.3,3,3.05,2,False.
351-4226,59,179.4,80,30.5,232.5,99,19.76,175.8,105,7.91,14.7,3,3.97,0,False.
330-6630,165,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0,False.
408-5183,93,138.1,91,23.48,167.3,72,14.22,238.9,115,10.75,6.8,3,1.84,2,False.
402-3599,64,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1,False.
379-5211,12,216.7,117,36.84,116.5,126,9.9,220,110,9.9,9.8,4,2.65,2,False.
405-9217,48,190.4,92,32.37,317.5,85,26.99,133.4,113,6,8.3,4,2.24,2,False.
340-9200,181,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6,7,1.62,1,False.
339-9026,168,97.4,57,16.56,203.6,98,17.31,173.9,124,7.83,11.4,2,3.08,2,False.
343-4772,155,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3,False.
345-2108,105,246.4,83,41.89,256.2,101,21.78,169,151,7.61,3.8,4,1.03,0,False.
401-4650,11,143.4,130,24.38,289.4,50,24.6,194,100,8.73,9.7,6,2.62,2,False.
400-3945,182,104.9,111,17.83,198.5,120,16.87,258.2,91,11.62,8,5,2.16,2,False.
418-3426,132,176.7,132,30.04,244.1,80,20.75,176.3,120,7.93,9.1,4,2.46,2,False.
336-6128,115,145,72,24.65,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,2,False.
363-5853,100,142.5,87,24.23,195.7,88,16.63,122.1,117,5.49,7.8,8,2.11,2,False.
383-6544,146,133,65,22.61,262.8,93,22.34,214.3,128,9.64,11.2,3,3.02,1,False.
378-2940,148,252.9,129,42.99,284.3,88,24.17,262.8,99,11.83,12.3,1,3.32,1,False.
338-7683,67,95,94,16.15,291.2,73,24.75,159.6,114,7.18,10,2,2.7,2,False.
369-9465,70,222.8,114,37.88,215.9,113,18.35,223.5,122,10.06,0,0,0,1,False.
337-3769,116,201.8,82,34.31,231.5,95,19.68,226.1,130,10.17,16.5,5,4.46,0,False.
411-6663,87,146.3,108,24.87,171.8,102,14.6,167.5,66,7.54,5.3,9,1.43,1,False.
384-3101,87,234.8,85,39.92,140.9,91,11.98,204.3,93,9.19,9.5,5,2.57,1,False.
339-5329,70,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,2,False.
388-9944,131,94.4,80,16.05,215.1,101,18.28,179.7,108,8.09,13.1,9,3.54,2,False.
403-1769,119,190.4,74,32.37,215.6,113,18.33,161.2,111,7.25,10,1,2.7,2,False.
390-1612,119,142.6,77,24.24,208.2,126,17.7,171,102,7.69,12,2,3.24,3,False.
338-6962,112,111.9,92,19.02,114,143,9.69,146.8,79,6.61,14.1,3,3.81,5,True.
333-9826,75,122.8,89,20.88,211.3,104,17.96,261.4,91,11.76,10.7,2,2.89,2,False.
411-8549,150,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,4,False.
381-9234,161,240.4,112,40.87,201.8,102,17.15,206.1,112,9.27,16.1,6,4.35,0,False.
387-9855,91,93.5,112,15.9,183.4,128,15.59,240.7,133,10.83,9.9,3,2.67,0,False.
371-6990,124,158.6,104,26.96,211.2,77,17.95,179.3,104,8.07,10.2,8,2.75,3,False.
417-3046,94,243.2,109,41.34,147,88,12.5,94.9,99,4.27,7.2,4,1.94,4,False.
385-7082,217,176.4,115,29.99,158.8,128,13.5,306.6,107,13.8,9.3,3,2.51,4,False.
365-5886,158,220.9,129,37.55,242.2,108,20.59,233.3,75,10.5,6.4,5,1.73,0,False.
373-5196,102,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0,False.
327-6194,85,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,0,False.
381-4565,79,147,72,24.99,165.7,102,14.08,243.2,107,10.94,8.4,9,2.27,1,False.
357-9832,139,96.2,112,16.35,178.9,70,15.21,182.1,84,8.19,12.9,10,3.48,2,False.
378-6772,98,12.5,67,2.13,256.6,90,21.81,169.4,88,7.62,7.7,9,2.08,1,False.
362-8331,50,183.6,107,31.21,58.6,118,4.98,202.6,99,9.12,8.7,3,2.35,1,False.
362-4685,161,178.1,109,30.28,146.5,86,12.45,137.6,78,6.19,8.5,2,2.3,1,False.
383-1431,67,201.4,101,34.24,97.6,122,8.3,202.5,119,9.11,7,3,1.89,0,False.
332-2258,86,123,158,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,1,False.
375-8304,92,208,125,35.36,198.9,76,16.91,76.4,97,3.44,8.6,6,2.32,0,False.
340-5580,174,239.2,72,40.66,188.5,124,16.02,105.6,116,4.75,8.8,3,2.38,1,False.
336-4281,132,174.5,101,29.67,245.6,105,20.88,172.8,76,7.78,10.3,9,2.78,1,False.
342-5906,101,93.8,127,15.95,150,104,12.75,241.1,116,10.85,10.7,2,2.89,1,False.
405-7904,185,154.1,114,26.2,118.7,106,10.09,258.4,105,11.63,12.9,3,3.48,2,False.
385-3263,117,216,140,36.72,224.1,69,19.05,267.9,112,12.06,11.8,4,3.19,0,False.
405-9496,118,187.4,97,31.86,177.8,89,15.11,233.4,97,10.5,12.2,6,3.29,1,False.
396-6775,124,167.4,119,28.46,233.2,143,19.82,109.6,115,4.93,10.3,5,2.78,0,False.
393-6475,22,160.4,108,27.27,218.1,88,18.54,192.9,115,8.68,12.5,4,3.38,1,False.
408-8650,134,205.3,122,34.9,240.5,155,20.44,179.1,107,8.06,5,9,1.35,1,False.
400-3497,164,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,1,False.
406-8809,177,232.8,106,39.58,175.2,97,14.89,212.2,77,9.55,12.5,7,3.38,2,False.
358-1778,110,162,81,27.54,247.5,89,21.04,155.5,99,7,8.9,8,2.4,0,False.
337-4339,53,25.9,119,4.4,206.5,96,17.55,228.1,64,10.26,6.5,7,1.76,1,False.
344-7197,108,154.2,123,26.21,112.3,86,9.55,246.4,75,11.09,15.4,4,4.16,4,True.
333-7631,80,322.3,113,54.79,222,95,18.87,162.8,123,7.33,6.7,8,1.81,0,True.
372-6623,158,209.9,112,35.68,221.3,82,18.81,210,93,9.45,8.2,3,2.21,1,False.
397-5381,88,215.6,115,36.65,216.2,85,18.38,171.3,65,7.71,11.8,1,3.19,3,False.
406-4604,82,208.8,101,35.5,213.7,87,18.16,175.1,86,7.88,12.4,6,3.35,3,False.
376-9513,111,255.9,97,43.5,204.1,129,17.35,171.3,84,7.71,12.3,5,3.32,3,False.
421-7270,113,132.1,72,22.46,247.5,107,21.04,246.2,123,11.08,6.9,6,1.86,3,False.
371-9482,109,217,115,36.89,207,142,17.6,268,106,12.06,8.2,4,2.21,1,False.
337-4101,105,101.9,79,17.32,223.1,97,18.96,241.6,77,10.87,12.9,2,3.48,0,False.
420-2796,85,211.5,100,35.96,184.6,88,15.69,164.3,131,7.39,13.3,4,3.59,2,False.
366-4225,131,153.4,86,26.08,198.5,81,16.87,164.4,83,7.4,10.4,3,2.81,0,False.
388-4571,148,185.2,87,31.48,170.4,96,14.48,165.1,104,7.43,9.5,13,2.57,1,False.
360-8666,210,104.6,121,17.78,149.5,71,12.71,255.1,67,11.48,6.5,8,1.76,2,False.
333-3704,115,245.2,105,41.68,159,109,13.52,229.9,74,10.35,7.2,8,1.94,0,False.
383-2566,106,274.4,120,46.65,198.6,82,16.88,160.8,62,7.24,6,3,1.62,1,False.
406-5584,93,98.4,78,16.73,249.6,129,21.22,248.2,114,11.17,14.2,4,3.83,1,False.
344-4691,57,279.9,121,47.58,223.1,109,18.96,251.7,94,11.33,13,2,3.51,1,False.
347-9737,98,187.2,127,31.82,195.6,88,16.63,181.8,129,8.18,5.1,4,1.38,1,False.
333-7961,157,276.2,95,46.95,165.8,119,14.09,151.6,79,6.82,2.2,4,0.59,3,False.
364-2439,116,200.4,104,34.07,272.8,89,23.19,214.5,100,9.65,8.3,4,2.24,1,False.
411-8043,30,162.3,96,27.59,244,122,20.74,180.1,89,8.1,9.1,4,2.46,2,False.
413-4831,52,165.5,78,28.14,205.5,89,17.47,213.6,124,9.61,12.2,6,3.29,0,False.
343-4806,72,217.8,93,37.03,189.7,113,16.12,182.6,91,8.22,10.4,5,2.81,4,False.
401-8735,135,201.4,100,34.24,246.5,117,20.95,154.8,131,6.97,12.9,4,3.48,2,True.
391-8626,86,190.5,115,32.39,179.6,130,15.27,258.5,89,11.63,10.1,5,2.73,3,False.
327-5817,98,179.9,97,30.58,189.2,89,16.08,164.3,76,7.39,12.8,7,3.46,3,False.
381-4712,151,235.9,104,40.1,80.6,91,6.85,212.8,116,9.58,5.8,2,1.57,3,False.
335-3320,118,140.4,112,23.87,187.1,60,15.9,207.9,155,9.36,7.9,1,2.13,0,False.
415-8780,117,144.6,115,24.58,258.8,66,22,253.2,113,11.39,7.4,9,2,2,False.
352-7413,82,101,93,17.17,155.6,104,13.23,304.4,93,13.7,13.3,2,3.59,0,False.
387-6716,152,206.3,98,35.07,292.8,82,24.89,43.7,121,1.97,10.6,4,2.86,1,False.
352-1127,108,165.1,85,28.07,267,93,22.7,250.7,114,11.28,10.9,4,2.94,1,False.
